rel_path,file_basename,time_band,cand_landmark,cand_city,cand_state,cand_country,matched,match_level,lat,lon,region,source,confidence
afternoon\Aerial_view_of_The_Twelve_Apostles__Victoria__Australia_horiz.jpg,Aerial_view_of_The_Twelve_Apostles__Victoria__Australia_horiz.jpg,afternoon,,,,Australia,australia,country,-25.2744,133.7751,OC,gazetteer,med
afternoon\Aerial_view_of_the_Valley_of_Temples_near_Agrigento__Sicily__Italy_horiz.jpg,Aerial_view_of_the_Valley_of_Temples_near_Agrigento__Sicily__Italy_horiz.jpg,afternoon,,,,Italy,italy,country,41.8719,12.5674,EU,gazetteer,med
afternoon\Aerial_view_of_Thjorsa___j_rs___river_and_the_Atlantic_Ocean__Iceland_horiz.jpg,Aerial_view_of_Thjorsa___j_rs___river_and_the_Atlantic_Ocean__Iceland_horiz.jpg,afternoon,,,,Iceland,iceland,country,64.9631,-19.0208,EU,gazetteer,med
afternoon\Aerial_view_of_Toplitzsee_and_Kammersee_mountain_lakes__Salzkammergut__Styria__Austria_horiz.jpg,Aerial_view_of_Toplitzsee_and_Kammersee_mountain_lakes__Salzkammergut__Styria__Austria_horiz.jpg,afternoon,,,,,,,,,,,
afternoon\Aerial_view_of_trees_growing_at_park_vert.jpg,Aerial_view_of_trees_growing_at_park_vert.jpg,afternoon,,,,,,,,,,,
afternoon\Aerial_view_of_Tumpak_Sewu_waterfall_in_the_tropical_forest_at_Lumajang__Java__Indonesia_horiz.jpg,Aerial_view_of_Tumpak_Sewu_waterfall_in_the_tropical_forest_at_Lumajang__Java__Indonesia_horiz.jpg,afternoon,,,,,,,,,,,
afternoon\Aerial_view_of_Turunc_Bay_on_a_summer_day__Marmaris__Mu_la_Province__Turkey_horiz.jpg,Aerial_view_of_Turunc_Bay_on_a_summer_day__Marmaris__Mu_la_Province__Turkey_horiz.jpg,afternoon,,,,,,,,,,,
afternoon\Aerial_view_of_Uppuveli_beach__Trincomalee__Eastern_Province__Ceylon__Sri_Lanka_vert.jpg,Aerial_view_of_Uppuveli_beach__Trincomalee__Eastern_Province__Ceylon__Sri_Lanka_vert.jpg,afternoon,,,,,,,,,,,
afternoon\Aerial_view_of_Victoria_Falls_waterfall_on_the_Zambezi_River_between_Zambia_and_Zimbabwe_vert.jpg,Aerial_view_of_Victoria_Falls_waterfall_on_the_Zambezi_River_between_Zambia_and_Zimbabwe_vert.jpg,afternoon,,,,,,,,,,,
afternoon\Aerial_view_of_vineyards_near_Stellenbosch__Western_Cape__South_Africa_horiz.jpg,Aerial_view_of_vineyards_near_Stellenbosch__Western_Cape__South_Africa_horiz.jpg,afternoon,,,,,,,,,,,
afternoon\Aerial_view_of_waterfalls_in_Chapada_dos_Veadeiros_National_Park__Goi_s__Brazil_horiz.jpg,Aerial_view_of_waterfalls_in_Chapada_dos_Veadeiros_National_Park__Goi_s__Brazil_horiz.jpg,afternoon,,,,,,,,,,,
afternoon\Aerial_view_of_Whitehaven_white_sand_beach_in_Whitsundays__Queensland__Australia_horiz.jpg,Aerial_view_of_Whitehaven_white_sand_beach_in_Whitsundays__Queensland__Australia_horiz.jpg,afternoon,,,,Australia,australia,country,-25.2744,133.7751,OC,gazetteer,med
afternoon\Aerial_view_of__ur_evi_a_Tara_Bridge_in_mountains__Montenegro_horiz.jpg,Aerial_view_of__ur_evi_a_Tara_Bridge_in_mountains__Montenegro_horiz.jpg,afternoon,,,,,,,,,,,
afternoon\Aerial_view_on_Rosa_Khutor_Alpine_ski_resort_in_Krasnaya_Polyana__Sochi__Russia_horiz.jpg,Aerial_view_on_Rosa_Khutor_Alpine_ski_resort_in_Krasnaya_Polyana__Sochi__Russia_horiz.jpg,afternoon,,,,,,,,,,,
